norwegian,english
juryer,juries
gjeme,hide
valeria,valeria
stagg,stag
lovprise,glorify
khama,khama
gødt,well
oppdragsgiveren,the client
dryppe,drip
jansson,Jansson
sprak,language
kruset,the mug
angriperne,the attackers
peppermø,pepper mø
panterne,the panthers
spanere,scouts
sjelefred,peace of mind
spenninger,tensions
stamgjest,regular guest
condés,condés
buet,curved
fjellklatring,mountain climbing
talsperson,spokesperson
muntrer,cheerful
skyteglad,happy to shoot
avskar,cut off
asbest,asbestos
kling,blade
årstidene,the seasons
zenas,zenas
bokhylle,bookcase
taxisjåføren,the taxi driver
slager,beats
rivalen,the rival
harelabben,the hare's paw
manwaring,manual
bikube,beehive
whitechapel,whitechapel
a,a
humanitære,humanitarian
yukon,yukon
andronicus,andronicus
smaragden,the emerald
orienten,the Orient
borgerverner,civil protection
armbrøsten,the crossbow
dekanen,the dean
salamanca,salamanca
separere,separate
matteo,mattheo
særskilt,separately
militante,militants
legemsbeskadigelse,bodily harm
tjenestefolk,servants
baileys,baileys
relikvie,relic
trucken,the truck
ventris,ventris
stef,step
grunnlovstillegg,constitutional amendment
bondens,farmer's
lammende,crippling
goin,gone
brendas,burned
gleason,gleason
drebin,drebin
mutantene,the mutants
badge,badge
ghani,ghani
makthaverne,those in power
fremkaller,evokes
avgiften,the fee
kognitive,cognitive
spandert,pampered
swayze,swayze
uortodoks,unorthodox
sommerdag,summer day
psykiatrien,psychiatry
desertering,desertion
etat,agency
hooka,hookah
halshogd,beheading
fnatt,chill
utrent,untrained
skjelettene,the skeletons
lengselen,the longing
kategorier,categories
pilcher,pilchers
badebukser,swimming trunks
dummingen,the stupidity
rønna,ronna
smukken,the beautiful
uglen,the owl
avskrekke,deter
niobe,niobium
papale,papal
studielån,student loans
medvind,tailwind
cos,cos
tygde,chewed
promille,blood alcohol level
stjernebase,star base
neptune,Neptune
tilda,tilda
anseelse,reputation
utøvere,performers
antenna,antenna
rpg,rpg
strykene,the strings
stephano,stephano
forsvares,defended
henley,henley
hovedgata,main street
brannmennene,the firemen
harddiskene,the hard drives
legemiddelet,the medicine
tukler,tampers
knoppen,the bud
braavos,cheers
ordforråd,vocabulary
kongeriker,kingdoms
jehova,Jehovah
oster,cheeses
hallelujah,hallelujah
overklassen,the upper class
vannvogna,the water wagon
farfars,grandfather's
dugde,did well
rug,rye
naturgass,natural gas
vakttårnet,the watchtower
hjelpeløst,helplessly
passivt,passively
søknadene,the applications
ge,give
bb-8,bb-8
worthington,worthington
storseilet,the mainsail
rum,room
toranagas,toranagas
eposter,emails
translation,translation
strang,strang
takknemlighetsgjeld,debt of gratitude
word,word
uttalelsene,the statements
vidd,wit
riff,riff
uskyldiges,of the innocent
draineren,the drainer
dåse,can
klientens,the client's
påvise,demonstrate
midge,midge
santino,Santino
sufflé,souffle
alessandra,alessandra
vindmølle,windmill
passerseddel,passport
skrøne,scree
valnøtt,walnut
ladies,ladies
gruner,suspects
larssen,larsen
fassbender,Fassbender
selektiv,selective
avblås,blow off
sør-carolina,South Carolina
amina,amina
regelmessige,regular
rekordtid,record time
maiken,the maik
bankkonti,bank accounts
morley,morley
boko,book
venkman,friend
pirrer,tantalizing
levedyktig,viable
planlegg,plan
majestic,majestic
mulholland,Mulholland
luftveiene,the respiratory tract
males,painted
fluffy,fluffy
trench,trench
dna-bevis,DNA evidence
filosofer,philosophers
kapitalen,the capital
janelle,janelle
instruere,instruct
dorfman,dorfman
sikkerhetspolitiet,the security police
tallahassee,tallahassee
quasimodo,quasimodo
griseri,piggery
peralta,peralta
grunvald,ground fire
drogo,drugs
kjøss,fuck
larvene,the larvae
padda,toad
tvillingbroren,the twin brother
radek,radek
sem,sem
rappen,the rap
dm,dm
kontrast,contrast
royale,royale
lito,litho
uttelling,payoff
player,player
pervoen,the pervo
vandalisme,vandalism
eksem,eczema
rapportér,report
takahashi,takahashi
boblen,the bubble
tilbragt,spent
verdensmesterskapet,the world championship
fotavtrykkene,the footprints
jón,ion
frihetsberøvelse,deprivation of liberty
nedslitt,worn down
whittaker,whittaker
drikkevannet,the drinking water
leieboerne,the tenants
morello,Morello
szalinski,szalinski
urimelige,unreasonable
crook,crook
fasttelefon,landline phone
bremsespor,brake track
thailandsk,Thai
luftbåren,airborne
endeløst,endlessly
tigrene,the tigers
papirkurven,the trash
ungarske,Hungarian
ruinerer,ruins
g-er,g's
oppstart,startup
markien,the brand
eder,you swear
franko,franco
blodpøl,pool of blood
lø,Sat
sårbarhet,vulnerability
arnhem,Arnhem
mikrobølgeovn,microwave oven
kakaoen,the cocoa
tullebukk,goofball
mammuten,the mammoth
kverka,howl
hub,hub
sved,sweat
amman,amman
forreste,front
fekte,fence
timbuktu,hour bay
morgenens,of the morning
tumnus,tumnus
overspent,overextended
meddelt,announced
fyllekjører,drunk driver
alexei,Alexey
homie,homie
shermans,sherman's
african,african
eplejuice,apple juice
thorson,thorson
pacemaker,pacemaker
punktering,puncture
vortex,vortex
umodent,immature
calumet,the calumet
rampe,ramp
savonarola,Savonarola
statskassen,the treasury
kompatible,compatible
jordmor,midwife
maskering,masking
sturer,steers
reservene,the reserves
sikkerhetsbeltene,the seat belts
skytsengelen,the guardian angel
duppet,dabbed
pad,pad
trillinger,triplets
umenneskelige,inhumane
plissken,the plisken
dokumentasjonen,the documentation
opphøyet,exalted
avataren,the avatar
golem,golem
nimitz,Nimitz
helens,helens
greenpeace,greenpeace
mdma,mdma
veisperringen,the roadblock
snøskred,avalanche
livsforsikringen,the life insurance
raw,raw
loppemarkedet,the flea market
drittpratet,bullshit
maría,Maria
snavla,snarl
helan,whole
pointcorp,pointcorp
trouble,trouble
lederskapet,the leadership
andover,and over
wolfman,wolfman
offentliggjøres,be made public
spørr,ask
ærligste,most honest
bomberom,bomb bay
akseleratoren,the accelerator
tannhjul,gears
shady,shady
forsøkskanin,guinea pig
legatet,the legacy
sklie,slide
charlton,charlton
history,history
ranjit,Ranjit
aaah,aaaah
sprayer,sprayer
warleggan,warleggan
tilnærmelser,approximations
fjellets,mountain's
tankeløse,mindless
pusting,breathing
kribler,tingling
kamelene,the camels
ufortjent,undeserved
h.c.,h.c.
rasjonere,ration
kremet,the cream
mitchells,mitchell's
ylva,river
elitesoldat,elite soldier
motvirker,counteracts
eiske,oak
tenger,pliers
opus,opus
noahs,noah's
bindes,be bound
fengsei,fangsei
kjærestens,girlfriend's
kelli,Kelly
utenriks,abroad
septer,Sept
sonne,Son
ridderlig,chivalrous
network,network
meridian,meridian
svikefull,deceitful
zoric,zoric
salems,Salem's
åring,yearling
skråningen,the slope
sprettet,bounced
navnløse,nameless
krabbene,the crabs
bek,pitch
frye,fry
kvinnfolka,the womenfolk
bokorm,bookworm
flyskrekk,fear of flying
manheim,Mannheim
flaherty,Flaherty
finanser,finances
borr,drill
felice,felice
bilmekaniker,car mechanic
avreisen,the departure
aubergine,eggplant
publisiteten,the publicity
vandy,Vandy
rotterdam,rotterdam
innspill,input
dexters,dexters
nsas,nsas
slakteriet,the slaughterhouse
leiesoldatene,the mercenaries
stork,stork
kvelende,suffocating
utstilt,exhibited
marika,marika
miro,miro
galaxy,galaxy
kaffemaskinen,the coffee machine
aspirant,aspirant
færreste,fewest
soya,soy
rasshøi,ass hay
himmeien,heaven
kjøleren,the cooler
funksjonsfeil,malfunction
gjestelista,guest list
eposten,the email
rekognoserer,reconnoiters
alana,alana
smulene,the crumbs
-tallet,- the number
røve,rob
pågå,going on
skvipet,the flip
snappe,snap
greenwood,greenwood
vertikalt,vertically
sykelugaren,the sick bay
pelé,Pele
bransjens,of the industry
modenhet,maturity
frampå,ahead
kongedømmer,kingdoms
eiken,the oak
monogami,monogamy
esta,this
shakira,shakira
rovdyret,the predator
kravle,crawl
brystkassa,ribcage
haha,lol
mayans,Mayans
kreativiteten,the creativity
hatsk,hateful
utarbeide,prepare
vegetarianere,vegetarians
acapulco,acapulco
booty,booty
familiekrise,family crisis
biting,biting
nordberg,nordberg
vital,vital
ærende,Honorable
snickers,snickers
kontrollpanelet,control panel
manhattans,manhattans
krukker,jars
gillingham,gillingham
impliserer,implies
preik,sermon
clock,clock
trudeau,trudeau
samarbeidspartner,cooperation partner
zen,zen
utgiver,publisher
medisinstudiet,medical school
rensende,cleansing
sikkerhetsrådet,the Security Council
deigen,the dough
matlyst,appetite
klødd,scratched
granderson,grand son
-timers,-hours
trenerne,the trainers
progressive,progressive
oscorp,oscorp
streben,the pursuit
rancho,rancho
takleiligheten,the penthouse
majmun,monkey
steinmetz,stonemason
innbruddstyver,burglars
vivi,vivi
latsabber,lazy people
bedrøvet,saddened
mammaer,moms
finish,finish
acke,ouch
roebling,roebling
midori,Midori
uverdige,unworthy
oversvømme,flood
dyktigere,more skilled
georgio,George
lindring,relief
aud,aud
jayden,jayden
savak,savak
leer,laughs
pitcher,pitcher
hjelpa,the help
chai,chai
flyvåpen,air force
irena,Irena
forsendelser,shipments
ekspanderer,expands
cowgirl,cowgirl
ani,ani
dekode,decode
arno,arno
albino,albino
herme,herm
nordkoster,northern coasts
atomkraft,nuclear power
riksadvokaten,the attorney general
frekkas,brazen
drøfter,discusses
sri,sri
trekkstråle,draft beam
skammens,of shame
mysteriene,the mysteries
skriftene,the scriptures
arbeidsløshet,unemployment
tankbil,tank truck
tibbs,tibbs
wee-bey,wee-bey
middelaldersk,medieval
dekorasjonene,the decorations
baktroppen,the rearguard
beregning,calculation
kroppsvæsker,body fluids
diagrammet,the diagram
varetekten,custody
alligatoren,the alligator
dove,deaf
irans,Iran
broderick,broderick
chocolate,chocolate
miri,miri
donaghy,donaghy
stormannsgalskap,magnanimous madness
fargeblind,colorblind
verdensorden,world order
less,less
frarådet,advised against
ryper,grouse
saad,said
skate,skate
beamen,the beam
stjerneporten,the stargate
tub,tub
sketsj,sketch
overløper,defector
thornhill,thornhill
motstanderens,opponent's
baklomma,back pocket
nedlasting,download
t-dog,t-dog
prøves,is tried
parmesan,parmesan
barnematen,the children's food
gaia,gaya
frilans,freelance
lokkes,lured
kollidere,collide
syndicate,syndicate
køddene,the meats
roschmann,roschmann
bastogne,bass train
clancy,Clancy
sprader,spreads
hogarth,hogarth
benytt,make use of
medvirket,contributed
mask,mask
eksene,the exes
omskrive,rewrite
pasientenes,the patients'
watters,watts
everything,everything
regnfrakk,raincoat
regulere,regulate
guvernørene,the governors
innpass,fitting in
månedslønn,monthly salary
buds,bids
deirdre,theirs
geolog,geologist
avgangsklassen,the graduating class
themistokles,Themistocles
plottet,the plot
innredningen,the decor
ramone,ramone
kaminsky,Kaminsky
dødsfelle,death trap
seende,seeing
crenshaw,crenshaw
kubelik,cubelike
armstrongs,armstrongs
heltemodige,heroic
maskinisten,the machinist
ewell,ewell
gåsa,the goose
meliorn,meliorn
represalier,reprisals
reddende,rescuing
kommentator,commentator
bevoktning,guarding
fallskjermene,the parachutes
tjenestegjør,serves
jerty,jerky
hellman,Hellman
strandhuset,the beach house
vor,Spring
beror,depends
sha,Sha
margareta,Margaret
briefingen,the briefing
cooley,cooley
littegrann,little thin
dusørjegere,bounty hunters
jase,jas
very,very
annapolis,annapolis
disiplene,the disciples
slum,slum
akuttmottak,emergency department
sjampoen,the shampoo
innlevelse,empathy
medicine,medicine
bliss,bliss
ldioter,Idiots
noveller,short stories
klientell,clientele
modisane,modisane
årslønn,annual salary
rasteplass,rest area
krigsskipet,the warship
høvdinger,chiefs
tranebær,cranberry
medsammensvoren,the co-conspirator
vurderinger,assessments
olly,Ollie
avskydd,loathing
kunstens,of art
klingonsk,Klingon
fagforeninger,trade unions
avleggs,laid off
widgren,Widgren
tintin,tintin
fiffig,nifty
mineral,mineral
hovedmålet,the main goal
dahmer,damn
sabbatsår,sabbatical year
putnam,putnam
gjen,again
dragenes,of the dragons
meieriprodukter,dairy products
pysj,posh
laktose,lactose
påvist,proven
herm,herm
sar,wound
lien,lien
østerrikske,Austrian
petersen,Peterson
avlegg,branch
isolasjonen,the insulation
bidragene,the contributions
heywood,heywood
minivan,minivan
dougherty,doughterty
ektet,the real thing
fordrar,requires
gaveston,gift box
reodor,reodor
sonisk,sonic
colada,cola
påkjørsel,collision
coca,coca
suresh,suresh
lokasjon,location
lekreste,most delicious
antikkens,of antiquity
farsen,farce
skamløst,shamelessly
badevakt,lifeguard
glinsende,glistening
søvnmangel,lack of sleep
førstehjelpsskrin,first aid kit
bevitner,witness
ekstrajobb,extra job
graving,digging
diplom,diploma
mexicaner,Mexicans
skuespillerinner,actresses
misunte,envious
tidsplan,schedule
kath,cat
farmasøytisk,pharmaceutical
bevegde,moved
ekspertisen,the expertise
unggutten,the young boy
jevnaldrende,peers
avdanket,renounced
misjonærer,missionaries
hydraulikken,the hydraulics
historikere,historians
påbud,injunction
redningsoperasjon,rescue operation
berømme,praise
bystyremedlem,city ​​council member
oppstemt,excited
oppgangen,the rise
brixton,brixton
jo-jo,yes-yes
vettskremte,freaked out
dekselet,the cover
billinger,bills
hoyre,right
marthas,Martha's
skvadroner,squadrons
slåssingen,the fighting
blodsbrødre,blood brothers
tillman,till man
pusling,puzzle
såkorn,seed grain
bleknet,faded
slegga,the sledgehammer
irs,irs
tempen,the temp
aleikum,aleikum
ubegrunnet,unfounded
selvmordsbrevet,the suicide note
drapssaken,the murder case
kabal,solitaire
øredøvende,deafening
exeter,exeter
skjems,disgraced
uforbederlig,incorrigible
dna-prøven,the dna sample
maryk,Mary
omveier,detours
josefin,Josephine
anropt,called
hoskins,Hoskins
beregnende,calculating
stamkunder,regular customers
flåtens,of the fleet
sima,sima
cry,cry
kananga,kananga
cline,cline
utøy,mischief
rødehavet,the red sea
affeksjonsverdi,affection value
humoristiske,humorous
rihanna,rihanna
yellowstone,yellowstone
cave,cave
færøyene,the Faroe Islands
tp,tp
acre,acre
piccolo,piccolo
gt,gt
varulven,the werewolf
shingen,the shingle
ubehøvlet,unplanned
tonya,Tonya
hoo,hoo
bastillen,the bastille
bjurman,bjurman
gaddafi,Gaddafi
latvia,Latvia
personens,the person's
siktelser,charges
forskanset,entrenched
nedbetaling,down payment
lorenzos,Lorenzo's
dekorerte,decorated
bale,bale
amazing,amazing
sikkerhetsavdelingen,the security department
nytteløs,useless
d.b.,d.b.
bryggen,the wharf
erklæres,be declared
takter,measures
levra,liver
tommers,inch
autisme,autism
aldersforskjellen,the age difference
tilstedeværende,present
berør,touch
alcide,alcide
step,step
barrel,barrel
fabio,Fabio
sho,sho
arkeologer,archaeologists
medisineringen,the medication
highland,highlands
føll,foal
sperma,sperm
forkledninger,disguises
brodd,sting
benkene,the benches
bombekastere,bombers
takehaya,takehaya
lærlingen,the apprentice
interiøret,the interior
filteret,the filter
romanoff,romanoff
infisere,infect
danforth,danforth
teddybjørnen,the teddy bear
eventyrlig,adventurous
kje,what
ffe,ff
møllen,the mill
blokkene,the blocks
hjemmeværende,homemaker
wentworth,wentworth
baptiste,Baptist
haremet,the harem
bogart,book art
skoletiden,school time
kamuflert,camouflaged
kohl,kohl
foggy,foggy
fienders,enemies
chilien,the chili
minutes,minutes
hemoroider,hemorrhoids
kkk,lol
spartansk,spartan
prisgitt,at the mercy of
ditlev,you live
yrkesmessig,vocationally
fønsmark,hay field
leoparden,the leopard
gælisk,Gaelic
naveen,the nave
navigasjon,navigation
kjærlighetssang,love song
innrømmelser,concessions
sakserne,the Saxons
stekes,fried
iov,iov
skogs,forest
hamp,hemp
padder,toads
continental,continental
qadir,qadir
nakamura,Nakamura
termometer,thermometer
coming,coming
biseksuell,bisexual
chien,the dog
romnummeret,the room number
pandaen,the panda
supermodell,supermodel
musical,musical
gullmedalje,gold medal
bedømmelse,assessment
barneværelset,the children's room
løsaktig,loose
jennys,jenny's
åtteåring,eight year old
goff,goof
afrodisiakum,aphrodisiac
slakteri,slaughterhouse
sølvdollar,silver dollar
mellis,mellis
delfinene,the dolphins
perfect,perfect
titans,titans
abbedissen,the abbess
elig,right
klassifiserte,classified
arbogast,arbogast
bussjåfør,bus driver
ekvator,equator
trappetrinn,steps
fortløpende,continuously
bj,bj
overasket,surprised
bidragsyter,contributor
sjimpanser,chimpanzees
forbigått,bypassed
flygebladene,the flyers
bløthjertet,soft hearted
dødsattesten,the death certificate
snuste,sniffed
hjernestammen,the brainstem
steroidene,the steroids
forutanelse,premonition
principe,principle
suzu,suzu
bartendere,bartenders
bjellene,the bells
barneavdelingen,the children's department
beregningen,the calculation
kvelt,suffocated
grizzly,grizzly
skada,hurt
ekter,real
ufattelige,unfathomable
chiles,chiles
ufruktbar,barren
laerer,teacher
beddoe,Beddoll
stasjonens,of the station
skikkene,the customs
plinger,plinger
harkness,harshness
pynten,the decoration
sikres,secured
bayard,bayard
feis,ugly
corvetten,the corvette
urettferdigheten,the injustice
kän,can
larven,the caterpillar
snowflake,snowflake
tidligst,at the earliest
scooby-doo,scooby doo
barnebarns,grandchildren's
klassekamerat,classmate
trigonometri,trigonometry
vespa,vespa
dory,dory
lunten,the fuse
margaux,margaux
genie,genius
sikten,the aim
silent,silent
rævkjøre,donkey ride
navle,navel
omstart,reboot
nek,refuse
havregryn,oatmeal
lasere,lasers
helligdommen,the sanctuary
laerte,taught
gløde,glow
munson,monsoon
barnerumpe,child's butt
ubekreftede,unconfirmed
olympisk,Olympic
girkassen,the gearbox
incheon,incheon
northwest,northwest
pådratt,incurred
roswell,roswell
middelklasse,middle class
forbindelsene,the connections
lavaen,the lava
balder,buttocks
gramm,grams
spaserturen,the walk
vannstanden,the water level
ambisiøst,ambitiously
th,th
marlow,marlow
simuleringen,the simulation
ul,ul
quoyle,quoyle
fjonge,kid
dna-testen,the dna test
begravelsesagenten,the undertaker
ærbødighet,reverence
stjernestøv,stardust
miho,miho
julegavene,the Christmas presents
klanens,clan's
havfruen,the mermaid
mcclaren,the mcclaren
børsnoteringen,the IPO
molekylær,molecular
plankene,the planks
erkeengelen,the archangel
håndfaste,tangible
kontraspionasje,counterespionage
festing,partying
femtende,fifteenth
parketaten,the public prosecutor's office
plastposer,plastic bags
utgravningen,the excavation
cubanerne,the Cubans
jekk,jack
pilegrimer,pilgrims
mackey,mackey
kiwi,kiwi fruit
usunne,unhealthy
fremmet,promoted
yung,yung
chatte,chat
ogs,also
jamies,James
straffedømte,convicted
spenser,spends
notisbok,notebook
hannes,hannes
åresvis,for years
slutningen,the conclusion
jui,whoops
avhørsrom,interrogation room
parkeringsplasser,parking lots
skiftende,changing
piers,pier
viii,viii
innsiktet,the insight
matematiske,mathematical
leave,leave
prestasjonen,the achievement
redskapet,the tool
amputert,amputated
corona,corona
snerrende,snarling
verdenshistorien,world history
covington,covington
shayne,shayne
automatene,the vending machines
federov,Federov
pcp,pcp
triphammer,trip hammer
tyggisen,the chewing gum
peer,peers
serberen,the Serb
sissel,sizzle
bussjåføren,the bus driver
enveiskjørt,one way skirt
kimmo,kimmo
mccourt,mccourt
intergalaktiske,intergalactic
backgammon,backgammon
urokkelige,unwavering
emery,emery
underbevissthet,subconsciousness
lyseblå,light blue
prioriterte,prioritized
pressesekretær,press secretary
vådeskudd,wet shot
jødenes,of the Jews
rivalene,the rivals
spylte,flushed
arisk,Aryan
amatørmessig,amateurish
gutteklubben,the boys club
oogway,oogway
polstret,padded
rævkjører,donkey driver
benjen,the leg
gamlemor,grandmother
notatboken,the notebook
soldats,soldier
loeb,loeb
orions,orions
albatross,albatross
homes,homes
falcone,falcon
polisen,the police
trøyen,the jersey
satine,satin
henshaw,henshaw
trollbundet,enchanted
stabssersjant,staff sergeant
byste,bust
tykktarmen,the colon
høylys,high beam
rituell,ritual
zucher,zucher
musketter,muskets
svangerskap,pregnancy
myspace,myspace
backstage,backstage
vampyrblod,vampire blood
hundevalp,puppy dog
promotere,promote
kathrine,Catherine
katolikkene,the Catholics
smørbrødene,the sandwiches
skøyer,jokes
tidsskipet,the time ship
behå,bra
veltrente,well trained
irriter,annoy
hats,hate
avsløringer,disclosures
vostok,vostok
jonatan,Jonathan
pariserhjul,ferris wheel
keens,never
metropolitan,metropolitan
igien,igie
able,able
weeks,weeks
bainbridge,bainbridge
rendell,rendel
skute,shoot
tegnefilmer,cartoons
plover,plows
minken,the mink
pelser,furs
ignacio,ignacio
kansellere,cancel
korben,the basket
rippet,ripped
dalene,the valleys
barselseng,maternity bed
enfoldige,simple
chong,chong
firere,fours
nagle,rivet
poengsum,score
amarillo,amarillo
fidel,fidel
markie,marquis
bestemmelsesstedet,the destination
skattebetalernes,taxpayers'
offa,off
euron,the euro
pur,pure
vika,give way
uregistrert,unregistered
felttog,campaign
rustfritt,stainless
torunn,three rounds
tvetydig,ambiguous
rådføre,consult
public,public
beekman,beekman
moretti,Moretti
mccallister,mccallister
odone,odone
trampoline,trampoline
økningen,the increase
productions,productions
mankato,mankato
oppdras,brought up
registrer,register
forlovelsesfest,engagement party
dekan,dean
holodekk,holodeck
deltidsjobb,part-time job
dink,think
campo,campo
vannski,water skiing
veto,veto
utsiktene,the prospects
kompaniets,the company's
bolet,the house
abruzzi,Abruzzi
vintre,winter
silikon,silicone
nts,nts
komplisere,complicate
notisboken,the notebook
uutforsket,unexplored
zaya,zaya
befris,liberate
stakkarslige,poor ones
knerta,knackered
jaktmarker,hunting grounds
coles,coles
avblåser,blowing off
triffidene,the triffids
undersåttene,the subjects
galasso,galasso
nix,nothing
ekdahl,ekdahl
sjømennene,the sailors
corny,corny
frynsegode,fringe benefits
cord,cord
utspørring,questioning
småstein,pebble
kye,kye
assosiert,associated
kristoff,Kristoff
zorba,zorba
eksplosjonene,the explosions
overskredet,exceeded
tørkle,towel
svulmer,swells
forunderlig,wonderful
lusing,lusing
sarte,delicate
tights,tights
zelenka,zelenka
utløs,trigger
paff,poof
platået,the plateau
slavearbeid,slave labor
aiken,aik
caltech,caltech
visekongen,the viceroy
bugs,bugs
førerens,driver's
nedbetalt,paid down
faisel,faisal
iss,iss
konkylien,the conch
tort,wrong
pendry,pendry
smoke,smoke
iføige,add
kledt,dressed
bevilget,granted
brennemerket,brand name
bertrise,bertrice
inntrengning,penetration
saddams,saddam
forverrer,worsens
uante,unexpected
ignoreres,is ignored
mayo,mayo
deerfield,deerfield
clubber,clubs
øreringen,the earring
mørklegging,blackout
onanerte,masturbated
gladiatorer,gladiators
mighty,mighty
festlighetene,the festivities
mans,man's
dorthe,Dorthe
zuckerberg,zuckerberg
ventilasjonssystemet,the ventilation system
budbringerne,the messengers
skjød,lap
dominus,dominus
motorbåt,motor boat
westside,westside
th,th
lojalt,loyally
pikniken,the picnic
innbyrdes,mutually
piña,piña
forretten,the appetizer
yolanda,Yolanda
forutsa,predict
agustín,agustín
brannbiler,fire engines
regionale,regional
niners,nines
befruktning,fertilization
savino,savino
panelene,the panels
hjerteknuser,heartbreaker
katalysatoren,the catalyst
bibler,bibles
okkult,occult
worldwide,worldwide
laine,laine
geografisk,geographically
office,office
korsryggen,the lower back
bankranere,bank robbers
bare-,only-
humper,bumps
formaldehyd,formaldehyde
overvåkingskameraer,surveillance cameras
kicking,kicking
basiller,bacilli
lavest,lowest
fostre,foster
chato,chat
marriott,Marriott
fordrevet,displaced
smørja,smear
uteblir,does not appear
gravplassen,the burial ground
overbelastning,overload
kjemoterapi,chemotherapy
corner,corner
framstiller,produces
henvist,referred
internatskole,boarding school
ck,ck
tabellen,the table
νille,nille
oppsummerer,summarizes
løsgjengeri,vagrancy
infrarød,infrared
objektene,the objects
rainer,rainer
argos,argos
poughkeepsie,poughkeepsie
bitterman,bitter man
chun,chun
røverne,the robbers
dyrs,expensive
sadler,saddles
banksjefen,the bank manager
blinkskudd,flash shot
blikkboks,tin can
bledsoe,bledsoe
småkakene,the cookies
krydderet,the spice
edwina,edwina
hybel,dormitory
kissinger,kisses
zoë,Zoe
battery,battery
close,close
nølende,hesitant
china,China
forenklet,simplified
rettsmedisinske,forensic
lkk,lol
operasjonsrommet,the operating room
holdings,holdings
flygeblad,leaflet
riene,contractions
jamme,dammit
colleget,the college
bowlet,bowled
registreringen,the registration
terra,land
kjærring,sweetheart
clough,clough
inglês,english
glødet,glowed
forhøres,be interrogated
tarek,Tarek
klistremerke,sticker
båndopptakeren,the tape recorder
prosjektil,projectile
borgerlige,bourgeois
x-ray,x-ray
linguini,linguini
nica,nice
usikret,unsecured
viljesterk,strong willed
uutholdelige,unbearable
dico,dico
forretningsmessig,business wise
ravioli,ravioli
lysningen,the lightening
supernova,supernova
odie,odie
ørering,earring
tiner,thaws
bomser,bums
yahoo,yahoo
hobart,Hobart
vektor,vector
krabben,the crab
dumhetene,the stupidities
skylles,rinsed
virka,work
niro,niro
tra,tra
bumblebee,bumblebee
lorca,lorca
vedskjulet,the woodshed
enkelhet,simplicity
individuell,individual
nimoy,nimoy
forsake,abandon
perimeter,perimeter
lykkejeger,fortune hunter
skjellene,the shells
germain,germain
trikk,tram
meningsfullt,meaningful
spinal,spinal
bostons,Boston
glistrup,glass throat
ultralyden,the ultrasound
aktoratets,of the prosecution
raptor,raptor
unyttige,useless
kenner,connoisseur
abbeden,the abbot
immigrant,immigrant
krigsbytte,spoils of war
nedstigning,descent
jemini,jemini
fotograferingen,the photography
kringkaste,broadcast
bedøvelsesmiddel,anesthetic
brunetten,the brunette
lyrisk,lyrical
froy,joy
analytikere,analysts
kif,kif
trettifem,thirty five
cruella,Cruella
gyldenlem,golden limb
kleinfelter,kleinfelder
stakkarer,poor thing
harpo,harpo
jughead,jughead
blodårer,blood vessels
wolff,wolf
simulerte,simulated
splittelse,division
nika,Nika
innrede,furnishing
ondsinnede,malicious
elskerinner,mistresses
lyshåret,fair haired
implantatet,the implant
ultrafiolett,ultraviolet
smelt,melted
fitzpatrick,fitzpatrick
dybbøl,deep well
forhistorie,prehistory
tilbaketrukket,withdrawn
hotteste,hottest
novellen,the short story
feiger,coward
infiserer,infects
innbydende,inviting
anført,stated
hviskende,whispering
trofeene,the trophies
rox,rox
cawdor,cawdor
animals,animals
halvan,and a half
flyulykke,plane crash
muskelen,the muscle
osgood,osgood
pakningen,the gasket
kanjeg,can
sjøfolk,sailors
yoshi,yoshi
defekte,defective
innvielse,initiation
masha,Masha
triaden,the triad
afrodite,aphrodite
ordets,of the word
nazirs,nazirs
forsythe,forsythe
roos,roos
distansere,distance
strikk,rubber band
forheksede,bewitched
oversvømmer,floods
midtbanen,the midfield
furte,furt
siamesiske,Siamese
losset,unloaded
leirbål,campfire
framstilt,produced
visselig,certainly
prislappen,the price tag
gaza,Gaza
armhulene,the armpits
christ,christ
flipp,flip
brysk,brusque
søndre,southerly
belize,Belize
noma,nom
high-five,high-five
ekleste,ugliest
stjeling,stealing
bagheera,bagheera
naseri,Nazirite
livstegnene,the signs of life
barberblader,razor blades
frispark,free kick
forretningspartnere,business partners
volder,violence
sl,sl
mordbrann,arson
anholdes,is arrested
saksofon,saxophone
mafiaens,of the mafia
ministre,ministers
hem,home
forgiftede,poisoned
registrene,the registers
nøkkelord,keywords
avbetaling,installment payment
gervais,gervais
urettmessig,unjustly
kemneren,the chemist
vaieren,the wire
plagen,the trouble
prototyper,prototypes
tsa,tsa
mansjettknapper,cufflinks
avholdt,held
førsteplassen,first place
sap,sap
oppfostrer,raising
subjekt,subject
custers,custers
falling,falling
campingvogna,the caravan
eeg,eg
gokart,go-kart
paavo,paavo
terrier,terrier
klubbens,the club's
mekanikere,mechanics
skilling,shilling
fråtser,gluttonous
femi,femi
eshel,eshel
likvake,wakeful
promenade,promenade
iykkeiig,yikes
klengenavn,nickname
fatale,fatal
tilsynsvergen,the supervisory guardian
thx,thx
dietz,diet
xanadu,xanadu
geek,geek
sikksakk,zigzag
marinejegere,naval hunters
trangsynte,narrow-minded
familietradisjon,family tradition
fastlenket,chained
melly,melly
ufordragelig,unbearable
vedén,the wood
nærgående,approaching
cupcakes,cupcakes
preiket,preached
hachi,hachi
burnham,burnham
tilpass,customize
universell,universal
vas,vase
